Country Region,Province State,Confirmed (SUM),Recovered (SUM)
Zimbabwe,,32,5
Zambia,,95,42
Yemen,,1,1
Western Sahara,,6,5
West Bank and Gaza,,343,71
Vietnam,,270,222
Venezuela,,329,142
Uzbekistan,,1939,992
US,Wyoming,536,0
US,Wisconsin,6289,0
US,West Virginia,1095,0
US,Washington,13842,0
US,Virginia,14339,0
US,Virgin Islands,57,0
US,Vermont,862,0
US,Utah,4345,0
US,Texas,26357,0
US,Tennessee,10052,0
US,South Dakota,2313,0
US,South Carolina,5735,0
US,Rhode Island,7927,0
US,Recovered,0,115936
US,Puerto Rico,1400,0
US,Pennsylvania,45137,0
US,Oregon,2385,0
US,Oklahoma,3410,0
US,Ohio,16769,0
US,Northern Mariana Islands,14,0
US,North Dakota,991,0
US,North Carolina,9755,0
US,New York,295106,0
US,New Mexico,2974,0
US,New Jersey,113856,0
US,New Hampshire,2010,0
US,Nevada,4821,0
US,Nebraska,3517,0
US,Montana,451,0
US,Missouri,7450,0
US,Mississippi,6342,0
US,Minnesota,4181,0
US,Michigan,39262,0
US,Massachusetts,58302,0
US,Maryland,20113,0
US,Maine,1040,0
US,Louisiana,27286,0
US,Kentucky,4375,0
US,Kansas,3652,0
US,Iowa,6376,0
US,Indiana,16588,0
US,Illinois,48102,0
US,Idaho,1952,0
US,Hawaii,609,0
US,Guam,141,0
US,Grand Princess,103,0
US,Georgia,24922,0
US,Florida,32848,0
US,District of Columbia,3994,0
US,Diamond Princess,49,0
US,Delaware,4575,0
US,Connecticut,26312,0
US,Colorado,14316,0
US,California,46164,0
US,Arkansas,3127,0
US,Arizona,6955,0
US,Alaska,351,0
US,Alabama,6750,0
Uruguay,,625,394
United Kingdom,Turks and Caicos Islands,12,5
United Kingdom,Montserrat,11,2
United Kingdom,Isle of Man,309,252
United Kingdom,Gibraltar,141,131
United Kingdom,Falkland Islands (Malvinas),13,11
United Kingdom,Channel Islands,530,352
United Kingdom,Cayman Islands,70,10
United Kingdom,British Virgin Islands,6,3
United Kingdom,Bermuda,110,44
United Kingdom,Anguilla,3,3
United Kingdom,,161145,0
United Arab Emirates,,11380,2181
Ukraine,,9410,992
Uganda,,79,52
Turkey,,114653,38809
Tunisia,,975,279
Trinidad and Tobago,,116,59
Togo,,99,63
Timor-Leste,,24,6
Thailand,,2938,2652
Tanzania,,299,48
Taiwan*,,429,307
Syria,,43,21
Switzerland,,29264,22600
Sweden,,19621,1005
Suriname,,10,7
Sudan,,318,31
Sri Lanka,,619,134
Spain,,232128,123903
South Sudan,,34,0
South Africa,,4996,2073
Somalia,,528,19
